FOLDER,IN_FILE,CHANNEL,OFFSET,DURATION,DATE,TIME,HOUR,NDSI,ACI
"Black Bear 10.07-10.16/Data","S4A04633_20171013_190002.wav",0,0.000,3598.000,"2017-10-13","19:00:02.000",19,-0.009576,150.067686

"Black Bear 10.07-10.16/Data","S4A04633_20171013_190002.wav",1,0.000,3598.000,"2017-10-13","19:00:02.000",19,-0.149121,150.027999

"Black Bear 10.07-10.16/Data","S4A04633_20171014_000000.wav",0,0.000,3600.000,"2017-10-14","00:00:00.000",0,0.540817,156.980452

"Black Bear 10.07-10.16/Data","S4A04633_20171014_030000.wav",0,0.000,3600.000,"2017-10-14","03:00:00.000",3,0.573567,157.626961

"Black Bear 10.07-10.16/Data","S4A04633_20171014_000000.wav",1,0.000,3600.000,"2017-10-14","00:00:00.000",0,0.249002,158.891058

"Black Bear 10.07-10.16/Data","S4A04633_20171014_030000.wav",1,0.000,3600.000,"2017-10-14","03:00:00.000",3,0.182027,155.355270

"Black Bear 10.07-10.16/Data","S4A04633_20171014_060000.wav",0,0.000,3600.000,"2017-10-14","06:00:00.000",6,-0.087127,151.824862

"Black Bear 10.07-10.16/Data","S4A04633_20171014_060000.wav",1,0.000,3600.000,"2017-10-14","06:00:00.000",6,0.017621,152.104923

"Black Bear 10.07-10.16/Data","S4A04633_20171014_070002.wav",0,0.000,3598.000,"2017-10-14","07:00:02.000",7,0.456915,160.377730

"Black Bear 10.07-10.16/Data","S4A04633_20171014_070002.wav",1,0.000,3598.000,"2017-10-14","07:00:02.000",7,0.274149,161.749285

"Black Bear 10.07-10.16/Data","S4A04633_20171014_160000.wav",0,0.000,3600.000,"2017-10-14","16:00:00.000",16,0.316690,152.887586

"Black Bear 10.07-10.16/Data","S4A04633_20171014_160000.wav",1,0.000,3600.000,"2017-10-14","16:00:00.000",16,-0.116573,156.094822

"Black Bear 10.07-10.16/Data","S4A04633_20171014_090000.wav",0,0.000,3600.000,"2017-10-14","09:00:00.000",9,0.929687,144.035673

"Black Bear 10.07-10.16/Data","S4A04633_20171014_090000.wav",1,0.000,3600.000,"2017-10-14","09:00:00.000",9,0.773042,145.553702

"Black Bear 10.07-10.16/Data","S4A04633_20171014_130000.wav",0,0.000,3600.000,"2017-10-14","13:00:00.000",13,0.572614,148.806336

"Black Bear 10.07-10.16/Data","S4A04633_20171014_130000.wav",1,0.000,3600.000,"2017-10-14","13:00:00.000",13,0.716742,152.654298

"Black Bear 10.07-10.16/Data","S4A04633_20171014_190002.wav",0,0.000,3598.000,"2017-10-14","19:00:02.000",19,0.405349,151.918973

"Black Bear 10.07-10.16/Data","S4A04633_20171014_190002.wav",1,0.000,3598.000,"2017-10-14","19:00:02.000",19,-0.044882,151.952911

"Black Bear 10.07-10.16/Data","S4A04633_20171015_000000.wav",0,0.000,3600.000,"2017-10-15","00:00:00.000",0,0.771473,150.965599

"Black Bear 10.07-10.16/Data","S4A04633_20171015_000000.wav",1,0.000,3600.000,"2017-10-15","00:00:00.000",0,0.254212,150.984195

"Black Bear 10.07-10.16/Data","S4A04633_20171014_180000.wav",0,0.000,3600.000,"2017-10-14","18:00:00.000",18,0.198131,153.084060

"Black Bear 10.07-10.16/Data","S4A04633_20171014_180000.wav",1,0.000,3600.000,"2017-10-14","18:00:00.000",18,0.027039,153.509594

"Black Bear 10.07-10.16/Data","S4A04633_20171015_030000.wav",0,0.000,3600.000,"2017-10-15","03:00:00.000",3,0.722499,150.634335

"Black Bear 10.07-10.16/Data","S4A04633_20171015_030000.wav",1,0.000,3600.000,"2017-10-15","03:00:00.000",3,0.240661,150.581684

"Black Bear 10.07-10.16/Data","S4A04633_20171015_060000.wav",0,0.000,3600.000,"2017-10-15","06:00:00.000",6,-0.235982,151.076706

"Black Bear 10.07-10.16/Data","S4A04633_20171015_060000.wav",1,0.000,3600.000,"2017-10-15","06:00:00.000",6,-0.126522,151.389942

"Black Bear 10.07-10.16/Data","S4A04633_20171015_070002.wav",0,0.000,3598.000,"2017-10-15","07:00:02.000",7,0.035588,153.949090

